54.36.148.238 - - [22/Sep/2019:04:34:37 -0700] "GET /self.logs/access.log.2016-07-29.gz HTTP/1.1" 404 250 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
108.59.8.80 - - [22/Sep/2019:04:34:45 -0700] "GET / HTTP/1.1" 200 12388 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
113.171.224.176 - - [22/Sep/2019:04:36:12 -0700] "GET /honeypot/Honeypot%20-%20Howto.pdf HTTP/1.1" 200 61320 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" 
81.255.240.53 - - [22/Sep/2019:04:37:51 -0700] "GET / HTTP/1.1" 301 475 "https://www.google.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0" 
81.255.240.53 - - [22/Sep/2019:04:37:51 -0700] "GET / HTTP/1.1" 200 46605 "https://www.google.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0" 
54.36.148.11 - - [22/Sep/2019:04:41:43 -0700] "GET /self.logs/error.log.2018-10-05.gz HTTP/1.1" 200 4862 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
54.36.149.10 - - [22/Sep/2019:05:01:41 -0700] "GET /self.logs/error.log.2018-12-31.gz HTTP/1.1" 200 5180 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
109.167.29.25 - - [22/Sep/2019:05:13:55 -0700] "GET /honeypot/Honeypot%20-%20Howto.pdf HTTP/1.0" 200 1279403 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.189 Safari/537.36 Vivaldi/1.95.1077.60" 
54.36.150.50 - - [22/Sep/2019:05:23:52 -0700] "GET /self.logs/access.log.2018-12-18.gz HTTP/1.1" 200 19695 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
27.205.224.57 - - [22/Sep/2019:05:26:50 -0700] "GET /favicon.ico HTTP/1.1" 200 302 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36" 
66.249.75.43 - - [22/Sep/2019:05:32:35 -0700] "GET /ads.txt HTTP/1.1" 404 294 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
18.209.165.244 - - [22/Sep/2019:05:32:39 -0700] "GET / HTTP/1.1" 200 12387 "-" "Mozilla/5.0 (compatible; startmebot/1.0; +https://start.me/bot)" 
113.171.224.176 - - [22/Sep/2019:05:42:03 -0700] "GET /honeypot/Honeypot%20-%20Howto.pdf HTTP/1.1" 200 61320 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" 
54.36.149.73 - - [22/Sep/2019:05:48:52 -0700] "GET /self.logs/2016/error.log.2016-04-09.gz HTTP/1.1" 200 708 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
54.36.150.17 - - [22/Sep/2019:05:49:12 -0700] "GET /self.logs/access.log.2018-01-02.gz HTTP/1.1" 200 25093 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
52.240.159.47 - - [22/Sep/2019:06:01:49 -0700] "GET /robots.txt HTTP/1.1" 200 288 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
52.162.161.148 - - [22/Sep/2019:06:04:15 -0700] "GET /self.logs/error.log.2018-11-17.gz HTTP/1.1" 200 3956 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
115.186.191.184 - - [22/Sep/2019:06:05:01 -0700] "GET / HTTP/1.1" 200 12432 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
115.186.191.184 - - [22/Sep/2019:06:05:02 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27810 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
115.186.191.184 - - [22/Sep/2019:06:05:02 -0700] "GET /css/style.css HTTP/1.1" 404 271 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
115.186.191.184 - - [22/Sep/2019:06:05:02 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7450 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36" 
