45.91.20.72 - - [22/Mar/2024:03:27:11 -0700] "HEAD /old/archive.zip HTTP/1.1" 404 265 "-" "-" 
45.91.20.73 - - [22/Mar/2024:03:27:31 -0700] "HEAD /backup/public_html.tar HTTP/1.1" 301 189 "-" "-" 
45.91.20.72 - - [22/Mar/2024:03:27:31 -0700] "HEAD /backup/public_html.tar HTTP/1.1" 404 265 "-" "-" 
85.203.45.208 - - [22/Mar/2024:03:29:57 -0700] "HEAD /back/website.rar HTTP/1.1" 301 183 "-" "-" 
85.203.45.203 - - [22/Mar/2024:03:29:58 -0700] "HEAD /back/website.rar HTTP/1.1" 404 265 "-" "-" 
45.95.243.9 - - [22/Mar/2024:03:30:59 -0700] "HEAD /old/directory.zip HTTP/1.1" 301 184 "-" "-" 
45.95.243.31 - - [22/Mar/2024:03:31:00 -0700] "HEAD /old/directory.zip HTTP/1.1" 404 265 "-" "-" 
45.67.99.45 - - [22/Mar/2024:03:32:13 -0700] "HEAD /backups/index.zip HTTP/1.1" 301 184 "-" "-" 
45.67.99.48 - - [22/Mar/2024:03:32:13 -0700] "HEAD /backups/index.zip HTTP/1.1" 404 265 "-" "-" 
107.20.105.74 - - [22/Mar/2024:03:36:40 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [22/Mar/2024:03:36:40 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
85.203.45.203 - - [22/Mar/2024:03:40:24 -0700] "HEAD /old/application.zip HTTP/1.1" 301 186 "-" "-" 
85.203.45.134 - - [22/Mar/2024:03:40:25 -0700] "HEAD /old/application.zip HTTP/1.1" 404 265 "-" "-" 
193.37.255.221 - - [22/Mar/2024:03:40:36 -0700] "HEAD /backups/bak.gz HTTP/1.1" 301 181 "-" "-" 
193.37.255.221 - - [22/Mar/2024:03:40:37 -0700] "HEAD /backups/bak.gz HTTP/1.1" 404 265 "-" "-" 
85.203.45.135 - - [22/Mar/2024:03:42:07 -0700] "HEAD /dump.sql HTTP/1.1" 301 175 "-" "-" 
85.203.45.203 - - [22/Mar/2024:03:42:08 -0700] "HEAD /dump.sql HTTP/1.1" 404 265 "-" "-" 
103.230.14.81 - - [22/Mar/2024:03:42:12 -0700] "GET /inc/imgcode.asp HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
45.95.243.45 - - [22/Mar/2024:03:44:37 -0700] "HEAD /restore/dump.sql HTTP/1.1" 301 183 "-" "-" 
