154.54.249.15 - - [08/Mar/2024:03:12:00 -0800] "GET /self.logs/error.log.2021-07-03 HTTP/1.0" 200 5302 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.162 - - [08/Mar/2024:03:12:25 -0800] "GET /self.logs/error.log.2021-07-21 HTTP/1.0" 200 1070 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.15 - - [08/Mar/2024:03:12:51 -0800] "GET /self.logs/error.log.2021-08-20 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.162 - - [08/Mar/2024:03:13:16 -0800] "GET /self.logs/error.log.2021-01-05 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.160 - - [08/Mar/2024:03:13:41 -0800] "GET /self.logs/error.log.2021-05-28 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
121.22.5.156 - - [08/Mar/2024:03:14:06 -0800] "GET / HTTP/1.1" 200 13185 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4280.67 Safari/537.36 Edg/97.0.664.52" 
154.54.249.15 - - [08/Mar/2024:03:14:06 -0800] "GET /self.logs/error.log.2021-09-02 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.161 - - [08/Mar/2024:03:14:32 -0800] "GET /self.logs/error.log.2021-03-02 HTTP/1.0" 200 1989 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.162 - - [08/Mar/2024:03:14:57 -0800] "GET /self.logs/error.log.2021-07-17 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.160 - - [08/Mar/2024:03:15:22 -0800] "GET /self.logs/error.log.2021-03-05 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.161 - - [08/Mar/2024:03:15:48 -0800] "GET /self.logs/error.log.2020-03-19 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.160 - - [08/Mar/2024:03:16:13 -0800] "GET /self.logs/error.log.2020-07-18 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.15 - - [08/Mar/2024:03:16:38 -0800] "GET /self.logs/error.log.2020-09-14 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
107.20.105.74 - - [08/Mar/2024:03:16:40 -0800] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [08/Mar/2024:03:16:40 -0800] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
154.54.249.160 - - [08/Mar/2024:03:17:04 -0800] "GET /self.logs/error.log.2020-03-28 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.161 - - [08/Mar/2024:03:17:29 -0800] "GET /self.logs/error.log.2020-09-16 HTTP/1.0" 200 731 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.160 - - [08/Mar/2024:03:17:54 -0800] "GET /self.logs/error.log.2020-08-19 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.163 - - [08/Mar/2024:03:18:20 -0800] "GET /self.logs/error.log.2020-05-25 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.163 - - [08/Mar/2024:03:18:45 -0800] "GET /self.logs/error.log.2020-04-21 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
85.208.96.197 - - [08/Mar/2024:03:18:49 -0800] "GET /robots.txt HTTP/1.1" 200 340 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)" 
185.191.171.10 - - [08/Mar/2024:03:18:49 -0800] "GET /Datasets%20Description/HTML_Bro_log_2/ HTTP/1.1" 200 795 "-" "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)" 
154.54.249.15 - - [08/Mar/2024:03:19:10 -0800] "GET /self.logs/error.log.2020-01-03 HTTP/1.0" 200 1310 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.160 - - [08/Mar/2024:03:19:36 -0800] "GET /self.logs/error.log.2020-03-30 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.15 - - [08/Mar/2024:03:20:01 -0800] "GET /self.logs/error.log.2020-05-01 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.15 - - [08/Mar/2024:03:20:26 -0800] "GET /self.logs/error.log.2020-08-11 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
154.54.249.163 - - [08/Mar/2024:03:20:52 -0800] "GET /self.logs/error.log.2020-09-30 HTTP/1.0" 200 314 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
